Price,Close,High,Low,Open,Volume
Ticker,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK
Date,,,,,
2022-02-22,2940.64697265625,2978.590804561492,2921.6750567036293,2959.618888608871,62886200
2022-02-23,3007.048828125,3007.048828125,2950.1330774349367,2950.1330774349367,71828400
2022-02-24,2969.10498046875,3035.5066892971245,2921.6751884484825,2997.5628556809106,166483000
2022-02-25,3035.506591796875,3035.506591796875,2959.618927001953,2969.1048851013184,94301200
2022-03-01,3007.048828125,3111.3943710567823,3007.048828125,3111.3943710567823,74543000
2022-03-02,2950.133056640625,2997.5628485480306,2940.6470982591436,2978.5909317850683,79796000
2022-03-04,2997.562744140625,3007.0487021917033,2959.6189119363135,2978.590828038469,60579000
2022-03-07,2931.1611328125,2997.5628413228155,2921.6751744538833,2959.619007888349,76482800
2022-03-08,2883.7314453125,2969.1050736276725,2855.2735692074425,2921.6752801192433,86761000
2022-03-09,2950.133056640625,2997.5628485480306,2864.759431207295,2864.759431207295,78102800
2022-03-10,2950.133056640625,2997.5628485480306,2931.1611398776627,2978.5909317850683,38764200
2022-03-11,3016.534912109375,3026.0208709524863,2950.133200207596,2978.59107673693,61069000
2022-03-14,3073.45068359375,3111.3945191936727,2959.6191767939813,3026.020889093846,107659400
2022-03-15,3063.96484375,3111.3946400928794,3044.992925212848,3073.4508030185757,67142400
2022-03-16,3168.309814453125,3187.2817295097307,3073.4502391700976,3073.4502391700976,129432200
2022-03-17,3120.88037109375,3225.2259154160333,3111.394412518997,3206.2539982665276,63973200
2022-03-18,3149.338134765625,3168.310051240117,3073.4504688676584,3130.3662182911335,117918600
2022-03-21,3063.96484375,3168.3103957043345,3054.4788844814243,3158.8244364357583,60900600
2022-03-22,3044.99267578125,3073.4505512558408,3035.5067172897193,3063.9645927643105,44859000
2022-03-23,3063.96484375,3063.96484375,3026.0210066756968,3035.5069659442725,71597200
2022-03-24,3178.465576171875,3188.126565765103,3072.194690646372,3091.516669832827,91401400
2022-03-25,3178.465576171875,3197.7875553583303,3130.1606282057373,3178.465576171875,58910800
2022-03-28,3284.736572265625,3294.397562184053,3178.4656831629136,3207.4486529181986,95596200
2022-03-29,3236.43115234375,3304.0580719449626,3236.43115234375,3284.7360949160447,37284800
2022-03-30,3246.09228515625,3313.719207763672,3217.1093183244975,3265.4142630440847,52844800
2022-03-31,3188.126220703125,3265.4141290838065,3188.126220703125,3255.7531405362215,53597400
2022-04-01,3168.804443359375,3265.4143349252095,3139.8214758896247,3188.126421672542,68466400
2022-04-04,3255.75341796875,3294.3973754520584,3168.804513631306,3168.804513631306,69486600
2022-04-05,3236.43115234375,3265.414117887127,3207.448186800373,3255.753129372668,29250200
2022-04-06,3149.482421875,3207.4483560199383,3139.8214328508434,3197.787366995782,69207400
2022-04-07,3207.4482421875,3207.4482421875,3120.499344055911,3149.482310099774,53820600
2022-04-08,3255.75341796875,3265.4144073395773,3188.12649237296,3217.1094604854416,83823600
2022-04-11,3246.09228515625,3284.7362409319194,3226.770307268415,3284.7362409319194,71495400
2022-04-12,3255.75341796875,3275.075396710404,3197.787481743787,3246.0924285979227,55549200
2022-04-13,3265.414306640625,3294.397273859329,3236.431339421921,3294.397273859329,57121000
2022-04-14,3246.09228515625,3284.7362409319194,3226.770307268415,3265.4142630440847,35981200
2022-04-18,3255.75341796875,3255.75341796875,3226.7704498562684,3246.0924285979227,42492600
2022-04-19,3246.09228515625,3265.4142630440847,3217.1093183244975,3246.09228515625,44256000
2022-04-20,3468.294921875,3487.6168991556406,3265.4141604282727,3284.7361377089137,138547200
2022-04-21,3622.871337890625,3632.532328125,3477.956484375,3477.956484375,132273800
2022-04-22,3613.20947265625,3651.853424235461,3574.5655210770387,3593.887496866644,85603200
2022-04-25,3671.176025390625,3825.7518580386513,3545.583161364104,3603.5490986071136,155795400
2022-04-26,3709.81982421875,3748.463780721029,3661.514878590902,3671.1758677164717,79762000
2022-04-27,3651.85400390625,3719.480929904514,3632.5320250496034,3709.819940476191,103426600
2022-04-28,3564.905029296875,3690.497889407605,3535.922061579014,3651.8539324504573,140241600
2022-05-09,3410.329345703125,3477.956273238314,3342.7024181679353,3477.956273238314,209052000
2022-05-10,3439.31201171875,3439.31201171875,3226.7702581855688,3226.7702581855688,166343000
2022-05-11,3391.007080078125,3555.243890224359,3381.3460912459936,3458.634001903045,69604200
2022-05-12,3168.804443359375,3400.6681831173782,3159.1434542027914,3400.6681831173782,219025000
2022-05-13,3188.126220703125,3197.78720925071,3110.838312322443,3168.8042436079545,110677200
2022-05-17,3265.414306640625,3342.702219223835,3168.8044159116125,3226.77035034902,87783400
2022-05-18,3381.345947265625,3429.6508893694195,3284.7360630580356,3304.0580398995535,106075600
2022-05-19,3352.36328125,3400.668227665706,3265.4143777017293,3304.0583348342943,64859200
2022-05-20,3391.007080078125,3448.9730130709136,3362.024113581731,3362.024113581731,70372000
2022-05-23,3419.990234375,3468.2951811882062,3352.363308836511,3391.007266287076,60898200
2022-05-24,3506.939208984375,3545.583167210098,3458.6342612022213,3487.6172298715132,58031400
2022-05-25,3448.97314453125,3535.9220473345586,3429.6511661305144,3468.295122931985,73700400
2022-05-27,3555.243896484375,3622.8708184283714,3468.2949968420944,3477.9559856912365,119132800
2022-05-30,3555.243896484375,3584.226863031802,3487.616974540379,3555.2438964843755,66577800
2022-05-31,3545.582763671875,3613.2096828699764,3506.9388098443887,3584.2267174993613,173358200
2022-06-02,3419.990234375,3545.583096089336,3410.3292450123586,3497.2781492761296,69562600
2022-06-03,3458.63427734375,3526.261204554382,3439.3122981407123,3458.63427734375,44234800
2022-06-06,3439.31201171875,3468.2949781096386,3362.0241013430477,3439.31201171875,70969000
2022-06-07,3439.31201171875,3516.5999220944523,3410.329045327862,3516.5999220944523,59999400
2022-06-08,3477.9560546875,3477.9560546875,3419.9901204427083,3458.6340766059025,36033000
2022-06-09,3352.36328125,3477.956141930836,3352.36328125,3419.990206231989,104568600
2022-06-10,3207.4482421875,3284.7361516378014,3188.126264824925,3275.075162956514,148581400
2022-06-13,3188.126220703125,3197.78720925071,3062.533369584517,3110.838312322443,168106400
2022-06-14,3197.787353515625,3246.0922984327794,3149.4824085984706,3197.787353515625,89451800
2022-06-15,3197.787353515625,3207.4483424990563,3139.8214196150398,3197.787353515625,50537200
2022-06-16,3188.126220703125,3275.075117631392,3188.126220703125,3246.092151988636,70161000
2022-06-17,3159.1435546875,3188.126523079128,3130.1605862958713,3139.8215757597477,85689800
2022-06-20,3139.8212890625,3178.465243389423,3110.8383233173076,3168.804254807692,54511600
2022-06-21,3265.414306640625,3265.414306640625,3159.143426838711,3159.143426838711,55051400
2022-06-22,3149.482421875,3265.414290164877,3139.8214328508434,3255.753301140721,62430800
2022-06-23,3149.482421875,3178.465388947469,3120.4994548025306,3159.143410899156,48869800
2022-06-24,3149.482421875,3168.8043999233128,3130.160443826687,3149.482421875,46945000
2022-06-27,3110.83837890625,3168.8043114324537,3110.83837890625,3159.1433226780864,43368800
2022-06-28,3120.49951171875,3159.1434685202203,3091.516544117647,3101.1775333180144,64516600
2022-06-29,3101.17724609375,3139.8211993161017,3043.211316260222,3130.160211010514,80254600
2022-06-30,3033.55078125,3110.8386992436303,3033.55078125,3101.177709494427,51193400
2022-07-01,3033.55078125,3072.1947402468154,2994.9068222531846,3033.55078125,47117800
2022-07-04,2956.2626953125,2994.9066521139703,2859.6528033088234,2985.2456629136027,119435800
2022-07-05,2994.906494140625,3072.1944036668347,2956.26253937752,2965.9235280682965,44476000
2022-07-06,2956.2626953125,2975.584673713235,2898.296760110294,2956.2626953125,61698000
2022-07-07,2936.940673828125,2994.9066081799956,2936.940673828125,2936.940673828125,53792800
2022-07-08,2936.940673828125,2985.2456191213505,2917.6186957108343,2965.9236410040603,66599600
2022-07-11,2898.296875,2956.2628125,2898.296875,2936.9408333333336,38983600
2022-07-12,2878.974609375,2946.601529729446,2869.3136207529365,2898.2965866191275,91270400
2022-07-13,2792.02587890625,2917.6187385110293,2792.02587890625,2878.9747817095586,70323600
2022-07-14,2811.34765625,2859.652598797251,2763.042713702749,2792.0256792310997,53467400
2022-07-15,2811.34765625,2849.9916102878005,2801.6866677405496,2840.3306217783506,91881600
2022-07-18,2830.669677734375,2869.3136323792132,2811.3477004119563,2811.3477004119563,33885200
2022-07-19,2821.0087890625,2888.6357120879707,2811.347800058861,2830.6697780661384,52625000
2022-07-20,2965.923828125,2985.245807461319,2859.652941775244,2869.313931443404,99752400
2022-07-21,2985.24560546875,3023.889561526598,2917.618682367516,3014.228572512136,91623800
2022-07-22,2975.58447265625,3014.2284268465905,2956.2624955610795,2994.9064497514205,39950200
2022-07-25,2936.940673828125,2985.2456191213505,2936.940673828125,2975.5846300627054,22755600
2022-07-26,2965.923828125,2994.9067971294785,2946.6018487886804,2956.26283845684,40742800
2022-07-27,3004.567626953125,3023.889605261505,2985.245648644745,2994.9066377989348,61470200
2022-07-28,3023.889404296875,3072.194346857528,3023.889404296875,3033.5503928090056,90037400
2022-07-29,3033.55078125,3072.1947402468154,3023.889791500796,3043.211770999204,96026000
2022-08-01,3072.194580078125,3130.160515551297,3072.194580078125,3130.160515551297,141365800
2022-08-02,3120.49951171875,3120.49951171875,3043.2115981158086,3081.8555549172793,61474600
2022-08-03,3139.8212890625,3139.8212890625,3091.516346153846,3130.160300480769,39764400
2022-08-04,3091.5166015625,3139.821548461914,3072.1946228027346,3130.1605590820313,71928200
2022-08-05,3188.126220703125,3197.78720925071,3081.8553466796875,3101.1773237748575,50346600
2022-08-08,3188.126220703125,3197.78720925071,3159.143255060369,3188.126220703125,26413800
2022-08-09,3265.414306640625,3284.7362847864274,3188.126394057415,3197.7873831303164,80592200
2022-08-10,3275.0751953125,3275.0751953125,3207.4482738753686,3217.1092626521017,49372400
2022-08-11,3294.397216796875,3323.3801835135628,3246.0922722690616,3313.719194608,54002400
2022-08-12,3294.397216796875,3304.0582057024376,3246.0922722690616,3255.753261174624,34264400
2022-08-15,3304.05810546875,3313.7190940812316,3265.414151018823,3313.7190940812316,43855800
2022-08-16,3313.71923828125,3313.71923828125,3275.07528214969,3294.39726021547,36326200
2022-08-18,3342.702392578125,3371.6853612999007,3304.0584342824245,3313.7194238563497,51415600
2022-08-19,3284.736572265625,3352.363501694623,3284.736572265625,3342.702511776195,33229600
2022-08-22,3207.4482421875,3255.7531855939383,3168.8042874623493,3236.431208231363,80695200
2022-08-23,3207.4482421875,3246.0921969126507,3197.7872535062124,3207.4482421875,43109000
2022-08-24,3207.4482421875,3246.0921969126507,3188.126264824925,3207.4482421875,31310600
2022-08-25,3197.787353515625,3236.4313094493486,3188.126364532194,3226.770320465918,18239400
2022-08-26,3207.4482421875,3246.0921969126507,3207.4482421875,3217.1092308687876,27294200
2022-08-29,3168.804443359375,3207.448399985709,3139.8214758896247,3168.804443359375,50521600
2022-08-30,3255.75341796875,3284.7363860812316,3178.4655030021327,3188.12649237296,64186600
2022-08-31,3294.397216796875,3294.397216796875,3207.448316646811,3246.0922722690616,88222800
2022-09-01,3294.397216796875,3323.3801835135628,3265.414250080187,3313.719194608,24754600
2022-09-02,3362.024169921875,3381.3461479099315,3294.397246963676,3304.0582359577047,76147000
2022-09-05,3419.990234375,3429.651223737641,3313.719351385946,3362.0242981991523,40541000
2022-09-06,3381.345947265625,3439.3118777901786,3362.023970424107,3419.9899009486608,39143800
2022-09-07,3313.71923828125,3371.6851724785893,3304.05824924836,3371.6851724785893,45680600
2022-09-08,3391.007080078125,3400.6680689102564,3323.380158253205,3333.0411470853364,48818600
2022-09-09,3400.66796875,3410.328957297585,3381.3459916548295,3391.0069802024145,66122800
2022-09-12,3400.66796875,3439.3119229403405,3391.0069802024145,3439.3119229403405,33164600
2022-09-13,3468.294921875,3477.9559105153203,3400.6680013927576,3419.989978673398,65135200
2022-09-14,3439.31201171875,3458.6339893126756,3391.0070677339363,3419.9900341248244,46548200
2022-09-15,3545.582763671875,3574.5657290424897,3468.2948560169025,3477.955844473774,154342800
2022-09-16,3458.63427734375,3545.5831837574196,3429.6513085391935,3516.600214952863,90832000
2022-09-19,3468.294921875,3506.938876436281,3419.989978673398,3497.277887795961,63689800
2022-09-20,3468.294921875,3477.9559105153203,3439.3119559540387,3468.294921875,35548200
2022-09-21,3468.294921875,3468.294921875,3400.6680013927576,3448.972944594359,33158800
2022-09-22,3477.9560546875,3487.6170437282985,3429.651109483507,3468.2950656467015,25991400
2022-09-23,3477.9560546875,3497.278032769097,3468.2950656467015,3497.278032769097,47123200
2022-09-26,3477.9560546875,3477.9560546875,3381.3461642795137,3429.651109483507,77318600
2022-09-27,3477.9560546875,3497.278032769097,3410.3291314019098,3497.278032769097,42385400
2022-09-28,3477.9560546875,3516.600010850694,3439.3120985243054,3477.9560546875,74439000
2022-09-29,3468.294921875,3497.277887795961,3448.972944594359,3477.9559105153203,24479200
2022-09-30,3468.294921875,3497.277887795961,3400.6680013927576,3458.6339332346797,45655600
2022-10-03,3439.31201171875,3477.955966906601,3410.329045327862,3468.2949781096386,28349400
2022-10-04,3419.990234375,3477.956170550847,3419.990234375,3448.9732024629234,58380200
2022-10-05,3419.990234375,3468.2951811882062,3419.990234375,3439.3122131002824,64983000
2022-10-06,3439.31201171875,3458.6339893126756,3400.668056530899,3439.31201171875,23969000
2022-10-07,3391.007080078125,3429.651035406651,3381.3460912459936,3419.9900465745195,36556000
2022-10-10,3381.345947265625,3391.006935686384,3342.7019935825892,3362.023970424107,32778000
2022-10-11,3362.024169921875,3381.3461479099315,3323.380213945761,3381.3461479099315,56959000
2022-10-12,3342.702392578125,3391.007340447751,3323.380413430275,3352.3633821520502,46026200
2022-10-13,3381.345947265625,3429.6508893694195,3352.3629820033484,3362.023970424107,60923600
2022-10-14,3255.75341796875,3419.9902372728116,3255.75341796875,3410.329247901984,49869400
2022-10-17,3313.71923828125,3333.0412163470296,3226.77033698524,3255.7533040839103,46023600
2022-10-18,3352.36328125,3362.0242705331416,3313.7193241174355,3313.7193241174355,34089400
2022-10-19,3391.007080078125,3400.6680689102564,3323.380158253205,3371.6851024138623,26287200
2022-10-20,3477.9560546875,3506.9390218098956,3362.0241861979166,3362.0241861979166,74454000
2022-10-21,3477.9560546875,3545.5829779730902,3468.2950656467015,3477.9560546875,67147400
2022-10-24,3613.20947265625,3642.1924363406583,3487.6166300238133,3487.6166300238133,93991000
2022-10-25,3642.192626953125,3738.8025109571868,3642.192626953125,3690.497568955156,79026600
2022-10-26,3564.905029296875,3671.175910929031,3564.905029296875,3671.175910929031,57301400
2022-10-27,3613.20947265625,3661.5144121302637,3564.904533182236,3574.5655210770387,32568200
2022-10-28,3603.549072265625,3622.8710512053867,3526.2611565065768,3613.210061735506,67024200
2022-10-31,3632.53173828125,3661.5147042781746,3613.2097609499665,3632.53173828125,57043600
2022-11-01,3632.53173828125,3671.175692943816,3574.5658062874,3632.53173828125,41443800
2022-11-02,3574.566162109375,3632.5320998733105,3535.9222036000842,3632.5320998733105,49775000
2022-11-03,3593.8876953125,3632.5316490255373,3545.582753171203,3574.565718455981,47748600
2022-11-04,3584.22705078125,3593.8880401364554,3564.9050720708387,3584.22705078125,33068200
2022-11-07,3584.22705078125,3613.210018846866,3564.9050720708387,3584.22705078125,43164600
2022-11-08,3574.566162109375,3613.2101206186653,3555.2441828547294,3593.88814136402,34329200
2022-11-09,3593.8876953125,3613.2096721690186,3574.565718455981,3593.8876953125,44354400
2022-11-10,3584.22705078125,3593.8880401364554,3516.6001252948113,3584.22705078125,35056000
2022-11-11,3593.8876953125,3661.5146143103157,3584.2267068842402,3642.192637453797,76578200
2022-11-14,3516.60009765625,3603.5490011697284,3506.939108376974,3593.888011890453,53046400
2022-11-15,3526.260986328125,3555.2439533390407,3506.9390083208473,3535.9219753317634,32362600
2022-11-16,3516.60009765625,3526.2610869355253,3429.651194142771,3526.2610869355253,84179400
2022-11-17,3584.22705078125,3593.8880401364554,3487.6171572291946,3516.6001252948113,42451400
2022-11-18,3555.243896484375,3603.548840730087,3545.582907635233,3593.8878518809447,34503000
2022-11-21,3545.582763671875,3584.2267174993613,3526.260786758132,3535.9217752150034,24552400
2022-11-22,3574.566162109375,3603.5491309913427,3545.583193227407,3564.905172482052,24036600
2022-11-23,3574.566162109375,3603.5491309913427,3574.5661621093745,3574.5661621093745,26480000
2022-11-24,3584.22705078125,3613.210018846866,3574.566061426044,3574.566061426044,33691200
2022-11-25,3593.8876953125,3593.8876953125,3564.9047300277216,3584.2267068842402,28538800
2022-11-28,3584.22705078125,3613.210018846866,3574.566061426044,3593.8880401364554,46613400
2022-11-29,3622.871337890625,3642.193318359375,3584.227376953125,3584.227376953125,59310800
2022-11-30,3825.75146484375,3825.7514648437495,3622.87070534446,3632.531693892045,228769000
2022-12-01,3748.463623046875,3845.073510238805,3738.802634327682,3825.7515328004188,60043200
2022-12-02,3767.785888671875,3767.785888671875,3690.4979730068108,3729.141930839343,74888600
2022-12-05,3767.785888671875,3796.7688570462738,3729.141930839343,3767.785888671875,46350800
2022-12-06,3690.49755859375,3748.4634888334426,3671.175581847186,3748.4634888334426,80960600
2022-12-07,3671.176025390625,3709.8199835526316,3622.871077688117,3690.4980044716285,74967200
2022-12-08,3671.176025390625,3690.4980044716285,3584.2271195261105,3671.176025390625,60297600
2022-12-09,3690.49755859375,3700.158546967032,3642.19261672734,3700.158546967032,58429600
2022-12-12,3680.8369140625,3729.141860441273,3642.1929569594818,3690.4979033382547,36690000
2022-12-13,3729.14208984375,3729.14208984375,3671.176150623381,3709.820110103627,44457600
2022-12-14,3680.8369140625,3767.785817544291,3661.5149355109907,3738.8028497170276,51313400
2022-12-15,3661.5146484375,3709.819591029024,3622.8706943642815,3671.175636955805,45526000
2022-12-16,3787.108154296875,3787.108154296875,3613.210330885284,3632.5323112643496,106781400
2022-12-19,3642.192626953125,3767.7854761584053,3642.192626953125,3748.463499357593,60549800
